SMILES	odor
C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)CCC(=O)N(C)C)C(C)C	cooling
C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)CCC(=O)N(C)C)C(C)C	minty
C[C@@H]1CC[C@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CCC2=C	woody
C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CC(=O)O3)C)(C)C	dry
C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CC(=O)O3)C)(C)C	ambergis
C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CC(=O)O3)C)(C)C	labdanum
C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CC(=O)O3)C)(C)C	aromatic
C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CC(=O)O3)C)(C)C	woody
C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CC(=O)O3)C)(C)C	mossy
C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CC(=O)O3)C)(C)C	cedar
C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CC(=O)O3)C)(C)C	tobacco
C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CC(=O)O3)C)(C)C	paper
C[C@H]1[C@H](C(=O)C(=C1C)O)C	sweet
C[C@H]1[C@H](C(=O)C(=C1C)O)C	maple
C[C@H]1[C@H](C(=O)C(=C1C)O)C	caramel
C[N+](C)(C)[O-]	fishy
C[N+](C)(C)CC(=O)[O-]	bland
C[N+](C)(C)CC1=CC=CO1.[I-]	chicken
C[S+](C)CCC(C(=O)O)N.[Cl-]	malty
C[S+](C)CCC(C(=O)O)N.[Cl-]	tomato
C[S+](C)CCC(C(=O)O)N.[Cl-]	potato
C[S+](C)CCC(C(=O)O)N.[Cl-]	sulfurous
C[S+](C)CCC(C(=O)O)N.[Cl-]	green
C=C1CCC2C(C3C1CCC3=C)OC(=O)C2=C	nutty
C=CC=CC=O	fruity
C=CC=O	almond
C=CC=O	cherry
C=CC=O	fruity
C=CC=O	sharp
C=CC=O	pungent
C=CC=O	acrid
C=CC=O	burnt
C=CC=O	sweet
C=CC=O	choking
C=CC1=CC=C(C=C1)O	chemical
C=CC1=CC=C(C=C1)O	phenolic
C=CC1=CC=C(C=C1)O	medicinal
C=CC1=CC=C(C=C1)O	sweet
C=CC1=CC=C(C=C1)O	almond
C=CC1=CC=C(C=C1)O	musty
C=CC1=CC=C(C=C1)O	meaty
C=CC1=CC=CC=C1	medicinal
C=CC1=CC=CC=C1	plastic
C=CC1=CC=CC=C1	balsamic
C=CC1=CC=CC=C1	gasoline
C=CC1=CC=CC=C1	sweet
C=CC1=CC=CC=C1	floral
C=CC1=CC=CC=C1	almond
C=CC1=CC=CC=C1	aromatic
C=CC1=CC=CC=C1	glue
C=CCC(C=O)C1=CC=CC=C1	fruity
C=CCC(C=O)C1=CC=CC=C1	floral
C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O	bitter
C=CCC1=CC=C(C=C1)O	medicinal
C=CCC1=CC=C(C=C1)O	phenolic
C=CCC1=CC=C(C=C1)O	herbaceous
C=CCC1=CC=CC=C1	paint
C=CCC1=CC2=C(C=C1)OCO2	spice
C=CCC1=CC2=C(C=C1)OCO2	sweet
C=CCC1=CC2=C(C=C1)OCO2	warm
C=CCC1=CC2=C(C=C1)OCO2	woody
C=CCC1=CC2=C(C=C1)OCO2	floral
C=CCC1=CC2=C(C=C1)OCO2	sassafrass
C=CCC1=CC2=C(C=C1)OCO2	anisic
C=CCCC(=O)C(=C)C1CCCCC1	sweet
C=CCCC(=O)C(=C)C1CCCCC1	green
C=CCCC(=O)C(=C)C1CCCCC1	fruity
C=CCCC(=O)C(=C)C1CCCCC1	pineapple
C=CCCC(=O)C(=C)C1CCCCC1	tropical
C=CCCC(=O)C(=C)C1CCCCC1	metallic
C=CCCC(=O)C(=C)C1CCCCC1	weedy
C=CCCC(=O)C(=C)C1CCCCC1	herbaceous
C=CCCC(=O)C(=C)C1CCCCC1	galbanum
C=CCCC(=O)C(=C)C1CCCCC1	orchid
C=CCCC(=O)C1=CC=CC=C1	balsamic
C=CCCC(=O)C1=CC=CC=C1	herbaceous
C=CCCC(=O)C1=CC=CC=C1	lavender
C=CCCC(=O)C1=CC=CC=C1	opoponax
C=CCCC(=O)C1=CC=CC=C1	myrrh
C=CCCC(=O)C1=CC=CC=C1	labdanum
C=CCCC(=O)C1=CCCC2(C1)CCCC2	green
C=CCCC(=O)C1=CCCC2(C1)CCCC2	galbanum
C=CCCC(=O)C1=CCCC2(C1)CCCC2	fruity
C=CCCC(=O)C1=CCCC2(C1)CCCC2	pineapple
C=CCCC(=O)O	buttery
C=CCCC(=O)O	cheese
C=CCCC(=O)O	fruity
C=CCCC(=O)O	dairy
C=CCCC(=O)O	parmesan
C=CCCC(=O)O	cheese
C=CCCC(=O)O	caramel
C=CCCC=O	roasted
C=CCCCC1CCCC(=O)O1	sweet
C=CCCCC1CCCC(=O)O1	creamy
C=CCCCC1CCCC(=O)O1	nutty
C=CCCCC1CCCC(=O)O1	pleasant
C=CCCCCCCCC(=O)O	wax
C=CCCCCCCCC(=O)O	green
C=CCCCCCCCC(=O)O	fruity
C=CCCCCCCCC(=O)O	fatty
C=CCCCCCCCC(=O)O	soapy
C=CCCCCCCCC(=O)O	creamy
C=CCCCCCCCC(=O)O	cheese
C=CCCCCCCCC=CCC#N	citrus
C=CCCCCCCCC=CCC#N	sweet
C=CCCCCCCCC=CCC#N	tangerine
C=CCCCCCCCC=CCC#N	aldehydic
C=CCCCCCCCC=CCC#N	fresh
C=CCCCCCCCC=CCC#N	watery
C=CCCCCCCCC=CCC#N	mandarin
C=CCCCCCCCC=O	aldehydic
C=CCCCCCCCC=O	dewy
C=CCCCCCCCC=O	rose
C=CCCCCCCCC=O	wax
C=CCCCCCCCC=O	floral
C=CCCCCCCCC=O	fresh
C=CCCCCCCCC=O	green
C=CCCCCCCCC=O	citrus
C=CCCCCCCCC=O	fatty
C=CCCCCCCCCC(=O)O	wax
C=CCCCCCCCCC(=O)O	woody
C=CCCCCCCCCC(=O)O	soapy
C=CCCCCCCCCC(=O)O	sweet
C=CCCCCCCCCC(=O)OCC=C	fruity
C=CCCCCCCCCC(=O)OCC=C	pineapple
C=CCCCCCCCCC(=O)OCC=C	wax
C=CCCCCCCCCC=O	fatty
C=CCCCCCCCCC=O	wax
C=CCCCCCCCCC=O	citrus
C=CCCCCCCCCC=O	rose
C=CCCCCCCCCC=O	sweet
C=CCCCCCCCCC=O	aldehydic
C=CCCCCCCCCC=O	mandarin
C=CCCCCCCCCC=O	soapy
C=CCCCCCCCCC=O	green
C=CCCCCCCCCC=O	floral
C=CCCCCCCCCC=O	marine
C=CCCCCCCCCC=O	orange
C=CCCCCCCCCCC(=O)O	fatty
C=CCCCCCCCCCC(=O)O	citrus
C=CCCCCCCCCCC(=O)O	aldehydic
C=CCCCCCCCCCO	floral
C=CCCCCCCCCCO	clean
C=CCCCCCCCCCO	fresh
C=CCCCCCCCCCO	wax
C=CCCCCCCCCCO	ozone
C=CCCCCCCCCCO	citrus
C=CCCCCCCCCCOCCC#N	fruity
C=CCCCCCCCCCOCCC#N	pineapple
C=CCCCCCCCCO	dewy
C=CCCCCCCCCO	rose
C=CCCCCCCCCO	wax
C=CCCCCCCCCO	aldehydic
C=CCCCCCCCCO	fresh
C=CCCCCCCCCO	clean
C=CCCCCCCCCO	floral
C=CCCCCN=C=S	green
C=CCCCCN=C=S	pungent
C=CCCCCN=C=S	fatty
C=CCCCCN=C=S	wasabi
C=CCCCCO	green
C=CCCCN=C=S	mustard
C=CCCCN=C=S	horseradish
C=CCCCN=C=S	green
C=CCCCN=C=S	pungent
C=CCCCN=C=S	wasabi
C=CCCN=C=S	aromatic
C=CCCN=C=S	pungent
C=CCCN=C=S	green
C=CCCN=C=S	horseradish
C=CCCN=C=S	wasabi
C=CCN=C=S	onion
C=CCN=C=S	garlic
C=CCN=C=S	sulfurous
C=CCN=C=S	pungent
C=CCN=C=S	mustard
C=CCN=C=S	penetrating
C=CCN=C=S	sharp
C=CCO	alliaceous
C=CCO	pungent
C=CCO	mustard
C=CCOC(=O)C=CC1=CC=CC=C1	balsamic
C=CCOC(=O)C=CC1=CC=CC=C1	peach
C=CCOC(=O)C=CC1=CC=CC=C1	fruity
C=CCOC(=O)C=CC1=CC=CC=C1	apricot
C=CCOC(=O)C=CC1=CC=CC=C1	pineapple
C=CCOC(=O)C=CC1=CC=CC=C1	spicy
C=CCOC(=O)C=CC1=CC=CC=C1	cinnamyl
C=CCOC(=O)C=CC1=CC=CC=C1	plum
C=CCOC(=O)C=CC1=CC=CC=C1	weedy
C=CCOC(=O)C1=CC=CC=C1	sweet
C=CCOC(=O)C1=CC=CC=C1	floral
C=CCOC(=O)C1=CC=CC=C1	cherry
C=CCOC(=O)C1=CC=CC=C1	berry
C=CCOC(=O)C1=CC=CC=C1	fruity
C=CCOC(=O)C1=CC=CC=C1N	heliotrope
C=CCOC(=O)C1=CC=CC=C1N	green
C=CCOC(=O)C1=CC=CC=C1N	leafy
C=CCOC(=O)C1=CC=CC=C1N	floral
C=CCOC(=O)C1=CC=CC=C1N	grape
C=CCOC(=O)C1=CC=CC=C1O	fruity
C=CCOC(=O)C1=CC=CC=C1O	banana
C=CCOC(=O)C1=CC=CC=C1O	pineapple
C=CCOC(=O)C1=CC=CC=C1O	wintergreen
C=CCOC(=O)C1=CC=CO1	caramel
C=CCOC(=O)C1=CC=CO1	jammy
C=CCOC(=O)C1=CC=CO1	fruity
C=CCOC(=O)CC1=CC=CC=C1	honey
C=CCOC(=O)CC1=CC=CC=C1	sweet
C=CCOC(=O)CC1=CC=CC=C1	fruity
C=CCOC(=O)CC1=CC=CC=C1	rummy
C=CCOC(=O)CC1CCCCC1	sweet
C=CCOC(=O)CC1CCCCC1	fruity
C=CCOC(=O)CC1CCCCC1	pineapple
C=CCOC(=O)CC1CCCCC1	green
C=CCOC(=O)CC1CCCCC1	peach
C=CCOC(=O)CC1CCCCC1	apricot
C=CCOC(=O)CC1CCCCC1	ripe
C=CCOC(=O)CC1CCCCC1	wax
C=CCOC(=O)CCC1CCCCC1	balsamic
C=CCOC(=O)CCC1CCCCC1	wax
